,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Yangi Marg`ilon,3,UZ,1587315588,44,40.43,71.72,60.8,2.24
85,Hong Kong,45,HK,1587315414,83,22.29,114.16,77.0,6.2
86,Thompson,90,CA,1587315574,78,55.74,-97.86,15.8,6.93
87,Amarante do Maranhão,16,BR,1587315588,59,-5.57,-46.74,86.04,5.1
88,Luís Correia,91,BR,1587315589,74,-2.88,-41.67,84.52,6.46
89,Ponta do Sol,24,PT,1587315315,53,32.67,-17.1,66.99,5.01
90,Gladstone,40,AU,1587315589,88,-23.85,151.25,69.8,4.7
91,Ribeira Grande,20,PT,1587315589,59,38.52,-28.7,60.8,24.16
92,Tiksi,86,RU,1587315589,86,71.69,128.87,10.02,6.93
93,Kozhva,98,RU,1587315590,95,65.11,57.05,33.46,3.06
94,Viedma,68,AR,1587315497,26,-40.81,-63.0,71.6,8.81
95,Barrow,90,US,1587315650,78,71.29,-156.79,8.6,3.36
96,Bluff,97,NZ,1587315650,85,-46.6,168.33,43.0,5.01
97,Coahuayana Viejo,40,MX,1587315650,54,18.73,-103.68,80.6,6.55
98,Hoquiam,75,US,1587315650,100,46.98,-123.89,51.01,8.05
99,Torbay,90,CA,1587315650,92,47.67,-52.73,32.0,24.16
100,Castro,2,BR,1587315651,34,-24.79,-50.01,73.99,2.82
101,Vaini,20,TO,1587315651,83,-21.2,-175.2,77.0,8.05
102,North Branch,0,US,1587315651,44,45.51,-92.98,41.0,5.99
103,Sucúa,78,EC,1587315651,35,-2.47,-78.17,80.33,4.0
104,Marigot,40,MF,1587315651,66,18.07,-63.08,84.2,9.17
105,Gerāsh,100,IR,1587315651,69,27.67,54.14,73.4,4.38
106,Chaska,1,US,1587315628,35,44.79,-93.6,45.0,13.87
107,Erzin,20,TR,1587315652,53,36.96,36.2,73.4,10.29
108,Bathsheba,40,BB,1587315652,55,13.22,-59.52,87.8,21.92
109,Sola,96,VU,1587315652,74,-13.88,167.55,82.51,4.79
110,Kincardine,0,GB,1587315652,61,56.07,-3.72,57.99,7.0
111,Kamen'-Rybolov,100,RU,1587315652,69,44.75,132.04,44.33,15.46
112,Port-Gentil,75,GA,1587315652,74,-0.72,8.78,87.8,9.17
113,Nanortalik,14,GL,1587315653,89,60.14,-45.24,30.18,15.79
114,Colares,20,PT,1587315653,55,38.8,-9.45,64.0,18.34
115,Leningradskiy,96,RU,1587315653,92,69.38,178.42,6.6,6.89
116,Kilindoni,90,TZ,1587315653,77,-7.91,39.67,82.62,16.73
117,Saint-Louis,0,SN,1587315653,19,16.33,-15.0,96.8,2.24
118,Constitución,57,CL,1587315654,41,-35.33,-72.42,68.11,17.36
119,Grindavik,90,IS,1587315654,100,63.84,-22.43,48.2,24.16
120,Yārāda,20,IN,1587315654,83,17.65,83.27,84.2,5.82
121,Aleppo Governorate,36,SY,1587315654,41,36.25,37.5,67.44,5.32
122,Zhuhai,40,CN,1587315654,88,22.28,113.57,77.0,5.82
123,Souillac,40,MU,1587315654,73,-20.52,57.52,77.0,12.75
124,Gamba,18,GA,1587315654,83,-2.65,10.0,81.12,8.12
125,Seoul,90,KR,1587315622,81,37.57,126.98,50.0,5.82
126,Abu Dhabi,98,AE,1587315367,58,24.47,54.37,87.8,9.17
127,Port Elizabeth,2,ZA,1587315510,69,-33.92,25.57,73.4,4.7
128,Makakilo City,20,US,1587315655,100,21.35,-158.09,69.8,2.66
129,Kavaratti,4,IN,1587315655,67,10.57,72.64,85.98,5.32
130,Susanville,57,US,1587315454,51,40.42,-120.65,51.01,8.99
131,Khanbari,54,NP,1587315655,35,27.37,87.2,67.44,4.27
132,Mar del Plata,2,AR,1587315502,60,-38.0,-57.56,75.0,23.04
133,Carman,100,CA,1587315576,43,49.5,-98.0,39.0,11.01
134,Margate,0,GB,1587315656,71,51.38,1.39,54.0,8.01
135,Port Augusta,75,AU,1587315657,28,-32.5,137.77,73.4,12.75
136,Adrar,0,MR,1587315657,14,20.5,-10.07,83.43,10.6
137,Isangel,100,VU,1587315657,84,-19.55,169.27,78.89,16.4
138,Henties Bay,1,NA,1587315657,90,-22.12,14.28,60.01,7.0
139,Naugachhia,11,IN,1587315717,35,25.4,87.1,85.59,6.89
140,Voh,53,NC,1587315717,85,-20.97,164.7,75.42,6.67
141,Mount Isa,28,AU,1587315580,48,-20.73,139.5,62.6,7.25
142,Port Lincoln,100,AU,1587315718,74,-34.73,135.87,63.25,21.52
143,Lusambo,73,CD,1587315718,82,-4.97,23.45,73.27,1.99
144,Sambava,11,MG,1587315718,86,-14.27,50.17,75.54,6.04
145,Cherskiy,99,RU,1587315718,93,68.75,161.3,-0.9,6.55
146,Ambilobe,50,MG,1587315718,87,-13.2,49.05,74.53,3.74
147,Clyde River,40,CA,1587315718,77,70.47,-68.59,1.4,3.42
148,Saldanha,0,ZA,1587315719,77,-33.01,17.94,62.6,11.41
149,East London,8,ZA,1587315719,64,-33.02,27.91,77.58,18.14
150,Tataouine,99,TN,1587315719,11,32.93,10.45,98.6,8.05
151,Talnakh,100,RU,1587315609,69,69.49,88.4,39.2,31.32
152,Berlevåg,75,NO,1587315720,86,70.86,29.09,39.2,11.41
153,Villazón,6,BO,1587315720,9,-22.09,-65.59,60.24,1.32
154,Saint-Philippe,20,RE,1587315720,78,-21.36,55.77,77.0,21.92
155,Hithadhoo,36,MV,1587315720,74,-0.6,73.08,85.21,11.39
156,Sept-Îles,20,CA,1587315696,64,50.2,-66.38,37.0,18.34
157,Altamira,97,BR,1587315594,71,-3.2,-52.21,83.26,3.62
158,Palmer,40,US,1587315721,43,42.16,-72.33,57.99,12.75
159,Fortuna,75,US,1587315722,93,40.6,-124.16,55.0,4.54
160,Pisco,9,PE,1587315722,73,-13.7,-76.22,73.4,8.05
161,Chicama,22,PE,1587315722,83,-7.84,-79.15,69.8,12.75
162,Leh,49,IN,1587315723,17,34.17,77.58,34.48,3.38
163,Dikson,100,RU,1587315723,88,73.51,80.55,35.4,30.65
164,Turukhansk,100,RU,1587315723,75,65.82,87.98,37.99,15.46
165,Babu,89,CN,1587315723,84,24.42,111.52,67.08,3.87
166,Hwange,6,ZW,1587315724,39,-18.37,26.5,72.5,2.06
167,Ekhabi,100,RU,1587315724,98,53.51,142.97,28.8,14.36
168,Bandarbeyla,61,SO,1587315724,69,9.49,50.81,82.78,10.25
169,Río Gallegos,40,AR,1587315724,61,-51.62,-69.22,48.2,40.26
170,Port Moresby,40,PG,1587315435,100,-9.44,147.18,77.0,3.36
171,Dongsheng,0,CN,1587315724,36,39.82,109.98,35.92,12.08
172,Sittwe,5,MM,1587315724,85,20.15,92.9,79.81,9.66
173,Pathein,29,MM,1587315725,86,16.78,94.73,76.98,8.66
174,Batagay,85,RU,1587315725,85,67.63,134.63,0.57,4.03
175,Tuatapere,88,NZ,1587315725,85,-46.13,167.68,43.0,5.01
176,Menongue,49,AO,1587315725,48,-14.66,17.69,67.66,6.64
177,Iqaluit,5,CA,1587315592,64,63.75,-68.51,1.4,1.25
178,Huanren,100,CN,1587315726,77,41.26,125.37,45.16,5.26
179,Abhā,99,SA,1587315726,82,18.22,42.51,66.2,8.05
180,Gizo Government Station,97,SB,1587315786,76,-8.1,156.84,81.09,1.97
181,Sehore,59,IN,1587315786,15,23.2,77.08,85.98,9.31
182,Trat,4,TH,1587315786,85,12.5,102.5,78.01,1.86
183,Rundu,96,NA,1587315786,69,-17.93,19.77,73.4,4.7
184,Eatonton,100,US,1587315787,93,33.33,-83.39,50.0,3.49
185,George Town,20,MY,1587315487,88,5.41,100.34,84.0,3.36
186,Tanta,0,EG,1587315787,71,30.79,31.0,60.78,9.98
187,Praia da Vitória,20,PT,1587315635,63,38.73,-27.07,64.4,29.64
188,Geraldton,35,AU,1587315590,87,-28.77,114.6,57.2,2.24
189,Sistranda,20,NO,1587315787,81,63.73,8.83,44.6,13.87
190,Solano,90,US,1587315787,62,38.23,-121.95,60.01,10.29
191,Bilibino,99,RU,1587315788,77,68.05,166.44,-3.08,0.81
192,Chokurdakh,100,RU,1587315788,95,70.63,147.92,6.24,9.69
193,Iquitos,75,PE,1587315639,74,-3.75,-73.25,82.4,2.24
194,Belyy Yar,0,RU,1587315789,38,53.6,91.39,42.8,4.47
195,Lompoc,75,US,1587315789,71,34.64,-120.46,59.0,8.21
196,Honningsvåg,75,NO,1587315789,80,70.98,25.97,41.0,25.28
197,High Level,90,CA,1587315789,64,58.52,-117.14,39.2,3.36
198,Kapoeta,100,SS,1587315789,37,4.77,33.59,78.06,2.93
199,Asha,26,RU,1587315789,77,55.0,57.27,37.83,2.75
200,Simpang,62,ID,1587315790,78,-1.27,104.08,79.09,2.19
201,West Bay,20,KY,1587315790,62,19.37,-81.42,89.6,8.05
202,San Quintín,99,MX,1587315790,63,30.48,-115.95,63.99,15.23
203,Rethymno,63,GR,1587315790,68,35.36,24.47,64.4,3.36
204,Tasiilaq,99,GL,1587315784,93,65.61,-37.64,32.0,24.16
205,Anadyr,20,RU,1587315796,92,64.75,177.48,14.0,2.24
206,Lüderitz,0,NA,1587315796,64,-26.65,15.16,69.8,10.29
207,Trelew,87,AR,1587315796,25,-43.25,-65.31,66.58,20.76
208,Wichian Buri,95,TH,1587315796,60,15.66,101.11,82.8,2.39
209,Tazovsky,100,RU,1587315796,98,67.47,78.7,34.9,7.81
210,Peniche,7,PT,1587315796,74,39.36,-9.38,63.0,10.0
211,Cap Malheureux,40,MU,1587315667,73,-19.98,57.61,77.0,12.75
212,Jiuquan,84,CN,1587315797,25,39.74,98.52,43.84,9.64
213,Ilulissat,52,GL,1587315797,54,69.22,-51.1,28.4,21.92
214,Pangody,100,RU,1587315797,96,65.85,74.49,33.93,10.45
215,Tuktoyaktuk,90,CA,1587315575,84,69.45,-133.04,6.8,14.99
216,Noyabrsk,100,RU,1587315797,86,63.2,75.45,36.52,6.26
217,Xapuri,1,BR,1587315797,54,-10.65,-68.5,84.2,6.93
218,Petropavlovsk-Kamchatskiy,29,RU,1587315798,41,53.05,158.65,24.8,15.66
219,Puerto Escondido,5,MX,1587315798,75,15.85,-97.07,89.6,9.17
220,Lucapa,78,AO,1587315798,73,-8.42,20.74,68.47,1.77
221,Lātehār,75,IN,1587315798,25,23.75,84.5,81.63,5.08
222,Watsa,87,CD,1587315798,74,3.04,29.54,65.82,3.2
223,Ingham,75,US,1587315798,58,42.6,-84.38,57.2,18.34
224,Goderich,98,CA,1587315799,77,43.75,-81.72,45.0,15.59
225,Quatre Cocos,40,MU,1587315573,73,-20.21,57.76,77.0,12.75
226,Kavieng,23,PG,1587315859,71,-2.57,150.8,83.61,4.18
227,Kimbe,20,PG,1587315860,87,-5.55,150.14,76.87,1.86
228,Orocué,85,CO,1587315860,41,4.79,-71.34,92.19,9.82
229,Albanel,90,CA,1587315860,80,48.88,-72.45,39.2,14.99
230,Aklavik,40,CA,1587315860,47,68.22,-135.01,15.8,4.7
231,Chancay,23,PE,1587315860,64,-11.57,-77.27,75.2,6.93
232,Huilong,71,CN,1587315860,88,31.81,121.66,57.0,9.28
233,Emerald,0,AU,1587315606,82,-23.53,148.17,68.0,11.41
234,Gaspé,20,CA,1587315600,64,48.83,-64.48,35.6,17.22
235,Shimoda,100,JP,1587315861,86,34.67,138.95,54.0,1.99
236,Heishan,71,CN,1587315861,81,41.69,122.11,49.8,21.97
237,Zhicheng,55,CN,1587315861,79,30.3,111.5,59.41,1.45
238,Fonte Boa,75,BR,1587315861,91,-2.5,-66.27,78.19,3.24
239,Amapá,62,BR,1587315861,51,1.0,-52.0,90.75,2.62
240,Itapirapuã,69,BR,1587315862,59,-15.82,-50.61,84.74,2.68
241,Naryan-Mar,100,RU,1587315863,98,67.67,53.09,31.46,2.46
242,Laas,75,IT,1587315863,58,46.62,10.7,57.2,8.05
243,Half Moon Bay,90,US,1587315863,82,37.46,-122.43,59.0,4.7
244,Havre-St-Pierre,1,CA,1587315863,69,50.23,-63.6,33.8,16.11
245,Upernavik,63,GL,1587315863,88,72.79,-56.15,24.24,10.78
246,Ouro Fino,70,BR,1587315863,52,-22.28,-46.37,72.86,1.41
247,Linxia Chengguanzhen,100,CN,1587315863,25,35.6,103.21,47.52,3.91
248,Faanui,68,PF,1587315864,78,-16.48,-151.75,82.6,14.05
249,Biggar,0,GB,1587315580,61,55.62,-3.52,49.57,8.9
250,Hofn,90,IS,1587315646,81,64.25,-15.21,46.4,6.93
251,Asău,75,RO,1587315864,50,46.43,26.4,57.2,23.04
252,Gérardmer,92,FR,1587315588,43,48.07,6.88,72.0,13.87
253,São João da Barra,75,BR,1587315683,57,-21.64,-41.05,78.8,6.93
254,Kruisfontein,31,ZA,1587315649,40,-34.0,24.73,75.02,8.19
255,Bubaque,75,GW,1587315864,71,11.28,-15.83,77.9,17.0
256,Hamilton,20,US,1587315644,62,39.18,-84.53,55.99,8.05
257,Cairns,90,AU,1587315865,88,-16.92,145.77,78.8,2.04
258,‘Ewa Beach,20,US,1587315676,77,21.32,-158.01,69.8,4.7
259,Kaitangata,74,NZ,1587315865,52,-46.28,169.85,51.01,15.01
260,Lata,9,PT,1587315865,69,40.16,-8.33,63.0,8.01
261,City of San Pedro,20,PH,1587315866,66,14.35,121.02,84.2,8.05
262,Zutphen,0,NL,1587315866,28,52.14,6.2,64.0,8.01
263,Santa Helena,97,BR,1587315866,71,-2.23,-45.3,85.73,3.53
264,Hay River,90,CA,1587315866,74,60.82,-115.8,28.4,4.7
265,Provideniya,98,RU,1587315866,94,64.38,-173.3,18.32,15.28
266,Guerrero Negro,63,MX,1587315867,60,27.98,-114.06,65.89,15.1
267,Ca Mau,31,VN,1587315868,80,9.18,105.15,80.17,4.5
268,Pangnirtung,20,CA,1587315680,77,66.15,-65.71,3.2,10.29
269,Kovdor,97,RU,1587315868,88,67.57,30.48,31.98,5.17
270,Deputatsky,98,RU,1587315868,86,69.3,139.9,0.54,5.55
271,Ambāgarh Chauki,66,IN,1587315868,34,20.78,80.72,84.25,4.34
272,Salinópolis,28,BR,1587315929,76,-0.61,-47.36,83.1,8.7
273,Abu Samrah,60,SY,1587315824,36,35.3,37.18,71.51,5.32
274,Mocuba,18,MZ,1587315929,92,-16.84,36.99,69.69,5.41
275,Moba,100,CN,1587315929,50,33.23,105.02,46.96,2.62
276,Lábrea,85,BR,1587315929,67,-7.26,-64.8,84.04,2.91
277,Gillette,90,US,1587315926,93,44.29,-105.5,42.01,11.79
278,Severo-Kuril'sk,9,RU,1587315929,90,50.68,156.12,26.42,14.27
279,Nyuksenitsa,10,RU,1587315929,96,60.41,44.24,30.09,0.74
280,Bulnes,86,CL,1587315797,43,-36.74,-72.3,69.8,16.11
281,Bījār,44,IR,1587315930,33,35.87,47.61,52.74,4.99
282,Harper,100,LR,1587315930,76,4.38,-7.72,83.44,7.2
283,Beloha,0,MG,1587315930,73,-25.17,45.05,73.27,21.14
284,Bambous Virieux,40,MU,1587315930,73,-20.34,57.76,77.0,12.75
285,Najrān,75,SA,1587315930,60,17.49,44.13,75.2,11.41
286,Padang,86,ID,1587315931,77,-0.95,100.35,78.48,3.42
287,Kawhia,99,NZ,1587315931,99,-38.07,174.82,59.0,1.01
288,Vila Velha,20,BR,1587315931,57,-20.33,-40.29,80.6,17.22
289,Saint-François,100,FR,1587315931,77,46.42,3.91,63.0,4.32
290,Urucurituba,81,BR,1587315931,92,-2.68,-57.67,78.06,5.01
291,Acaraú,77,BR,1587315931,82,-2.89,-40.12,82.76,6.06
292,Uglovskoye,41,RU,1587315931,40,51.36,80.19,54.93,4.23
293,Coyhaique,75,CL,1587315931,61,-45.58,-72.07,50.0,14.99
294,Nador,56,MA,1587315671,60,35.17,-2.93,68.0,20.8
295,Rovaniemi,75,FI,1587315932,92,66.5,25.72,42.8,9.17
296,Tel'ma,87,RU,1587315939,76,52.7,103.71,32.0,8.95
297,Warren,1,US,1587315939,58,39.43,-84.17,55.99,9.17
298,Grapevine,75,US,1587315904,94,32.93,-97.08,72.0,6.69
299,Hirara,59,JP,1587315939,90,24.8,125.28,75.16,17.69
300,Pacific Grove,47,US,1587315919,80,36.62,-121.92,57.99,1.01
301,Barra de Tecoanapa,15,MX,1587315940,43,16.52,-98.75,89.4,10.51
302,Tianpeng,100,CN,1587315906,1,30.99,103.94,66.99,1.99
303,Hualmay,19,PE,1587315940,62,-11.1,-77.61,76.95,9.28
304,Östersund,61,SE,1587315893,70,63.18,14.64,42.8,14.99
305,Atbasar,64,KZ,1587315940,62,51.8,68.33,54.34,5.48
306,Departamento de Maldonado,20,UY,1587315941,57,-34.67,-54.92,78.01,9.17
307,Idlib,20,SY,1587315941,53,35.93,36.63,73.4,10.29
308,De-Kastri,100,RU,1587315941,89,51.47,140.78,34.38,14.07
309,Batemans Bay,89,AU,1587315941,100,-35.72,150.18,57.0,5.88
310,Belaya Gora,95,RU,1587315941,89,68.53,146.42,-0.44,8.05
311,Heyang,100,CN,1587315941,72,26.1,107.47,61.43,3.13
312,Yaroslavskiy,100,RU,1587315942,71,44.17,132.21,43.52,6.78
313,Kashary,94,RU,1587315942,57,49.04,41.01,46.44,2.48
314,Adra,75,ES,1587315942,72,36.75,-3.02,64.4,11.41
315,Bodden Town,20,KY,1587315942,62,19.28,-81.25,89.6,8.05
316,Vidim,16,RU,1587315942,89,56.41,103.11,19.6,3.87
317,Province of Mantua,100,IT,1587315942,53,45.17,10.78,73.99,3.62
318,Ponta Delgada,20,PT,1587315942,63,37.73,-25.67,62.6,32.21
319,Venado Tuerto,0,AR,1587315943,31,-33.75,-61.97,84.99,10.09
320,Uberlândia,97,BR,1587316003,65,-18.92,-48.28,72.0,5.44
321,Cocorit,5,MX,1587316003,49,27.58,-109.97,73.4,5.82
322,Vzmorye,0,RU,1587316003,70,54.7,20.24,44.6,17.9
323,Samarai,8,PG,1587316003,82,-10.62,150.67,79.99,4.43
324,Lakes Entrance,100,AU,1587316003,64,-37.88,147.98,56.34,10.74
325,Troitskoye,17,RU,1587316003,56,52.98,84.68,48.07,1.99
326,Sitka,90,US,1587316003,93,57.05,-135.33,39.2,3.36
327,Kahului,1,US,1587316004,87,20.89,-156.47,71.01,5.82
328,Ust'-Ilimsk,3,RU,1587316004,90,58.0,102.66,20.16,2.37
329,Qingdao,0,CN,1587316004,93,36.1,120.37,50.0,4.47
330,Labytnangi,100,RU,1587316004,94,66.66,66.42,33.46,4.05
331,Florø,0,NO,1587315784,46,61.6,5.03,53.6,5.82
332,Santa Rosa del Sur,100,CO,1587316004,66,7.96,-74.05,79.12,0.27
333,Pevek,100,RU,1587315917,94,69.7,170.31,4.23,5.55
334,Gualeguay,0,AR,1587316005,30,-33.14,-59.31,83.19,7.56
335,Awjilah,9,LY,1587316005,18,29.11,21.29,76.73,7.52
336,General Pico,6,AR,1587316006,31,-35.66,-63.76,81.77,2.15
337,Beyneu,100,KZ,1587316006,26,45.32,55.2,69.37,21.03
338,Lake City,40,US,1587316007,78,30.19,-82.64,84.99,6.93
339,Qom,19,IR,1587316007,32,34.64,50.88,69.57,6.58
340,Inuvik,90,CA,1587316007,66,68.35,-133.72,12.2,9.17
341,Aliwal North,0,ZA,1587316007,32,-30.69,26.71,65.62,4.47
342,Marawi,80,PH,1587316007,73,8.0,124.29,67.96,2.46
343,Sakakah,21,SA,1587316007,21,29.97,40.21,78.8,11.41
344,Ballina,0,AU,1587316008,67,-28.87,153.57,63.0,8.16
345,Shetpe,100,KZ,1587316008,40,44.17,52.12,64.58,5.26
346,Abaza,0,RU,1587316008,52,52.66,90.09,41.59,1.81
347,Olinda,40,BR,1587315934,74,-8.01,-34.86,84.2,9.17
348,Dolisie,90,CG,1587316008,77,-4.2,12.67,75.67,1.83
349,Iranduba,75,BR,1587316008,74,-3.28,-60.19,84.2,6.93
350,Ratnapura,93,LK,1587316008,81,6.68,80.4,78.4,2.62
351,Kongolo,99,CD,1587316008,80,-5.38,27.0,70.95,2.19
352,Enshi,82,CN,1587316008,72,30.3,109.48,60.93,2.1
353,Fort Nelson,40,CA,1587316009,35,58.81,-122.7,57.2,14.99
354,Matara,99,LK,1587316009,88,5.95,80.54,79.95,5.95
355,The Valley,40,AI,1587315837,66,18.22,-63.06,84.2,9.17
356,Namatanai,54,PG,1587316009,72,-3.67,152.43,82.06,2.48
357,Adré,48,TD,1587316009,11,13.47,22.2,83.16,9.73
358,Kirakira,99,SB,1587316009,81,-10.45,161.92,79.2,2.44
359,Rabaul,78,PG,1587316009,77,-4.2,152.17,80.94,1.41
360,Neiafu,20,TO,1587316009,83,-18.65,-173.98,78.8,10.29
361,Waddān,94,LY,1587316010,13,29.16,16.14,82.47,14.09
362,Sisimiut,98,GL,1587316010,97,66.94,-53.67,26.28,32.21
363,Siocon,99,PH,1587316010,78,7.71,122.14,82.94,2.82
364,Shache,88,CN,1587316010,41,38.42,77.24,58.44,7.54
365,Pahrump,27,US,1587315822,49,36.21,-115.98,66.0,5.99
366,Santa Rita,75,BR,1587316011,79,-7.11,-34.98,84.2,9.17
367,Vanimo,65,PG,1587316071,77,-2.67,141.3,81.79,1.39
368,Severnyy,90,RU,1587316071,42,50.68,36.55,44.6,6.71
369,Msanga,20,TZ,1587316071,73,-6.05,36.03,73.4,9.17
370,Biltine,100,TD,1587316071,10,14.53,20.92,87.44,8.3
371,Baykit,0,RU,1587316071,91,61.67,96.37,22.87,2.19
372,Acapulco de Juárez,75,MX,1587316071,66,16.86,-99.89,84.2,5.82
